year,m_01,m_02,m_03,m_04,m_05,m_06,m_07,m_08,m_09,m_10,m_11,m_12
1975,9544 ,8549 ,10332 ,10504 ,11380 ,9746 ,9786 ,11282 ,10343 ,12243 ,13137 ,12532 
1976,11722 ,11355 ,12920 ,12519 ,13809 ,13841 ,13866 ,15299 ,13333 ,15067 ,15855 ,15141 
1977,14265 ,12820 ,17308 ,17172 ,17393 ,16165 ,17953 ,20484 ,18587 ,20752 ,18863 ,17936 
1978,17592 ,17156 ,19952 ,20115 ,22719 ,23054 ,23283 ,21479 ,24590 ,25537 ,23366 ,20735 
1979,21107 ,22583 ,23871 ,23244 ,25430 ,26288 ,24629 ,25056 ,25750 ,25339 ,26887 ,25362 
1980,24178 ,22509 ,25500 ,27522 ,29589 ,29220 ,28770 ,29996 ,30809 ,28816 ,32135 ,29796 
1981,28982 ,27122 ,31285 ,33417 ,34537 ,36525 ,43155 ,45363 ,37814 ,38858 ,38691 ,40276 
1982,39519 ,36134 ,39590 ,38538 ,42971 ,40642 ,46881 ,45723 ,42083 ,43746 ,43997 ,39883 
1983,43343 ,34735 ,36843 ,38784 ,41478 ,40804 ,47405 ,46836 ,39140 ,43021 ,42878 ,38194 
1984,38402 ,35667 ,40014 ,38020 ,43194 ,41326 ,46600 ,47271 ,42173 ,43075 ,40496 ,36870 
1985,43241 ,32005 ,38749 ,38256 ,41936 ,40779 ,45663 ,48295 ,39919 ,40672 ,40390 ,34250 
1986,39210 ,32453 ,36535 ,35948 ,37154 ,36907 ,41653 ,45490 ,37444 ,39942 ,38485 ,33753 
1987,40403 ,34912 ,38877 ,38110 ,42577 ,40771 ,45658 ,50248 ,45969 ,45390 ,47582 ,40041 
1988,54224 ,44159 ,50137 ,52317 ,59029 ,53622 ,69385 ,77398 ,53617 ,69152 ,74510 ,67626 
1989,100194 ,79788 ,90349 ,91202 ,93051 ,89977 ,121014 ,126092 ,98843 ,109620 ,107569 ,105413 
1990,138553 ,113754 ,115927 ,115633 ,122052 ,119628 ,155771 ,157064 ,130296 ,128479 ,127128 ,136638 
1991,170466 ,108397 ,129369 ,140049 ,154331 ,149938 ,203103 ,204728 ,140978 ,153812 ,148292 ,152555 
1992,200177 ,152848 ,146453 ,156569 ,162190 ,166372 ,208774 ,212868 ,152756 ,160304 ,154279 ,169709 
1993,218896 ,171028 ,158911 ,167375 ,185491 ,184429 ,251983 ,251447 ,189390 ,204269 ,208046 ,228665 
1994,298182 ,218232 ,218125 ,234849 ,246800 ,248843 ,328125 ,334771 ,241442 ,251600 ,253715 ,279642 
1995,359574 ,275093 ,280297 ,280235 ,280982 ,280867 ,392997 ,404085 ,293670 ,293722 ,317233 ,359985 
1996,435617 ,321282 ,345970 ,340652 ,378918 ,379814 ,500319 ,491775 ,324106 ,376876 ,361555 ,392367 
1997,474389 ,336171 ,358148 ,356446 ,377652 ,394051 ,499030 ,495884 ,330778 ,367945 ,336780 ,214885 
1998,220237 ,197646 ,214600 ,223802 ,242241 ,254056 ,295406 ,304012 ,256906 ,272385 ,285739 ,299896 
1999,347406 ,275440 ,314865 ,310966 ,347367 ,349227 ,446014 ,448383 ,346069 ,386174 ,382580 ,387055 
2000,454469 ,397303 ,397950 ,407250 ,457930 ,452987 ,589214 ,571379 ,430456 ,446588 ,439805 ,462911 
2001,500762 ,445899 ,450782 ,465596 ,489787 ,506831 ,664182 ,647710 ,461529 ,444839 ,483903 ,522656 
2002,629077 ,513320 ,547042 ,575481 ,549024 ,538110 ,724788 ,773908 ,526556 ,605926 ,580686 ,559489 
2003,742059 ,621358 ,519583 ,339384 ,360295 ,483956 ,729135 ,793315 ,591030 ,648385 ,640191 ,617442 
2004,793478 ,670447 ,587629 ,642413 ,680185 ,712260 ,897234 ,930573 ,682244 ,757538 ,745887 ,725697 
2005,897406 ,745998 ,707058 ,762096 ,802497 ,865693 ,1020757 ,1070289 ,785549 ,848088 ,784031 ,790681 
2006,985287 ,944596 ,823918 ,855083 ,906482 ,915942 ,1098740 ,1159874 ,931946 ,984649 ,987488 ,1015874 
2007,1281530 ,982591 ,1046055 ,989018 ,1107498 ,1064076 ,1297398 ,1308664 ,1015650 ,1078092 ,1072557 ,1081848 
2008,1322909 ,1132463 ,983589 ,1026750 ,1099977 ,1004715 ,1135843 ,1163809 ,818747 ,932716 ,707012 ,667564 
2009,812901 ,753642 ,702043 ,734681 ,737396 ,731137 ,996695 ,1041527 ,658487 ,714880 ,721940 ,888782 
2010,1118261 ,908103 ,950185 ,935904 ,1023815 ,997597 ,1223723 ,1235742 ,1013123 ,1055581 ,1004902 ,1021428 
2011,1268007 ,1091628 ,868694 ,867487 ,1014409 ,1053658 ,1241629 ,1247222 ,1013507 ,1032589 ,974255 ,1020648 
2012,1200782 ,1150334 ,1018952 ,1018645 ,1096950 ,1109273 ,1305418 ,1334651 ,1059709 ,1154742 ,1117550 ,1169970 
2013,1425900 ,1184807 ,1113946 ,1097420 ,1185405 ,1221491 ,1417422 ,1407186 ,1195238 ,1239143 ,1154064 ,1204463 
2014,1468903 ,1312683 ,1150959 ,1179885 ,1223003 ,1270439 ,1454795 ,1547193 ,1321293 ,1432100 ,1288754 ,1430677 
2015,1834538 ,1445609 ,1416683 ,1495460 ,1579265 ,1373551 ,1675332 ,1835249 ,1511657 ,1735308 ,1626063 ,1781715 
2016,2112337 ,1876928 ,1569162 ,1636597 ,1656728 ,1778317 ,2086068 ,2064241 ,1904524 ,1865552 ,1825701 ,2007035 
