id,release_date,revenue,runtime,title
1371,1982-05-28,2.7E8,99.0,Rocky III
1405,1924-12-04,0.0,140.0,Greed
2105,1999-07-09,2.35483004E8,95.0,American Pie
2193,1983-03-04,2.2587E7,97.0,My Tutor
2294,2001-08-22,3.3788161E7,104.0,Jay and Silent Bob Strike Back
2455,1983-08-10,0.0,110.0,Confidentially Yours
17,2006-01-26,0.0,87.0,The Dark
62,1968-04-10,6.87E7,149.0,2001: A Space Odyssey
110,1994-05-27,0.0,99.0,Three Colors: Red
144,1987-01-01,3200000.0,128.0,Wings of Desire
150,1982-12-07,7.8868508E7,96.0,48 Hrs.
153,2003-08-31,1.19723856E8,102.0,Lost in Translation
161,2001-12-07,4.5071715E8,116.0,Ocean"s Eleven
165,1989-11-20,3.32E8,108.0,Back to the Future Part II
168,1986-11-25,1.33E8,119.0,Star Trek IV: The Voyage Home
185,1971-12-18,2.6589E7,136.0,A Clockwork Orange
186,2006-02-24,5.6308881E7,110.0,Lucky Number Slevin
222,1927-09-23,0.0,69.0,Berlin: Symphony of a Great City
223,1940-04-12,6000000.0,130.0,Rebecca
225,1981-07-27,0.0,147.0,Man of Iron
235,1986-08-22,5.2287414E7,89.0,Stand by Me
248,1961-12-18,5000000.0,136.0,Pocketful of Miracles
253,1973-07-05,1.61777836E8,121.0,Live and Let Die
261,1958-02-17,1.7570324E7,108.0,Cat on a Hot Tin Roof
265,1981-01-14,0.0,120.0,Lili Marleen
266,1963-10-21,528428.0,103.0,Contempt
272,2005-06-10,3.74218673E8,140.0,Batman Begins
273,2001-12-31,0.0,107.0,The White Sound
292,2005-09-12,1.1718595E7,100.0,Dave Chappelle"s Block Party
296,2003-07-02,4.35E8,109.0,Terminator 3: Rise of the Machines
300,2006-02-11,9524340.0,105.0,The Science of Sleep
314,2004-07-22,8.2102379E7,104.0,Catwoman
317,2006-03-01,0.0,90.0,Grbavica: The Land of My Dreams
319,1993-09-09,1.2281551E7,120.0,True Romance
339,1991-10-03,2015810.0,129.0,Night on Earth
349,2005-03-30,0.0,93.0,Cockles and Muscles
350,2006-06-30,3.26551094E8,109.0,The Devil Wears Prada
364,1992-06-19,2.8E8,126.0,Batman Returns
377,1984-11-14,2.5504513E7,91.0,A Nightmare on Elm Street
405,1954-07-16,0.0,104.0,La Strada
410,2005-09-09,0.0,105.0,Summer in Berlin
454,1996-10-31,1.47298761E8,120.0,Romeo + Juliet
457,1955-12-22,0.0,102.0,Sissi
468,1991-10-17,0.0,104.0,My Own Private Idaho
480,2001-08-30,0.0,114.0,Monsoon Wedding
497,1999-12-10,2.846E8,189.0,The Green Mile
500,1992-09-02,1.4661007E7,99.0,Reservoir Dogs
508,2003-09-07,2.44931766E8,135.0,Love Actually
509,1999-05-13,3.63889678E8,124.0,Notting Hill
527,1994-09-02,2201126.0,99.0,Once Were Warriors
537,2005-10-12,0.0,93.0,Not Here to Be Loved
539,1960-06-16,3.2E7,109.0,Psycho
550,1999-10-15,1.00853753E8,139.0,Fight Club
551,1972-12-01,8.4563118E7,117.0,The Poseidon Adventure
552,2000-03-03,0.0,114.0,Bread and Tulips
585,2001-11-01,5.62816256E8,92.0,Monsters_ Inc.
586,1997-12-25,6.4256513E7,97.0,Wag the Dog
587,2003-12-25,1.22919055E8,125.0,Big Fish
588,2006-04-21,9.7607453E7,125.0,Silent Hill
590,2002-12-27,4.159783E7,114.0,The Hours
592,1974-04-07,4420000.0,113.0,The Conversation
593,1972-03-20,0.0,167.0,Solaris
616,2003-12-05,4.56758981E8,154.0,The Last Samurai
661,1979-02-20,0.0,116.0,The Marriage of Maria Braun
247,1956-05-08,0.0,85.0,The Killing
267,1997-10-28,1535558.0,103.0,Live Flesh
318,2000-02-09,0.0,122.0,The Million Dollar Hotel
595,1962-12-25,1.3129846E7,129.0,To Kill a Mockingbird
778,1953-02-26,0.0,84.0,Monsieur  Hulot"s Holiday
866,116766556,106.0,null,FALSE
1271,2006-12-09,4.22610419E8,117.0,300
1378,2006-05-20,5179037.0,101.0,Shortbus
1580,1948-08-23,2200000.0,80.0,Rope
1721,1972-12-22,0.0,106.0,All the Way Boys
1884,1985-02-13,0.0,96.0,The Ewok Adventure
2028,1989-04-14,2.0036737E7,100.0,Say Anything...
2694,2006-09-21,0.0,96.0,Tuya"s Marriage
2762,1937-11-01,0.0,83.0,Young and Innocent
2841,2004-10-26,0.0,133.0,A Very Long Engagement
2959,2007-07-04,6.9307224E7,91.0,License to Wed
44191,1985-07-19,0.0,92.0,Loose Screws
58559,2012-08-29,0.0,120.0,Confession of a Child of the Century
152,1979-12-06,1.39E8,132.0,Star Trek: The Motion Picture
344,1999-08-26,0.0,110.0,Bang_ Boom_ Bang
345,1999-07-14,1.62091208E8,159.0,Eyes Wide Shut
1089,1991-07-12,8.3531958E7,120.0,Point Break
1127,2005-09-02,0.0,113.0,Princesses
1358,1991-10-01,0.0,80.0,A Brief History of Time
1499,1993-03-17,4.2E7,96.0,Teenage Mutant Ninja Turtles III
1611,2003-10-15,0.0,118.0,The Miracle of Bern
1690,2005-01-06,8.0578934E7,94.0,Hostel
1719,1964-05-05,0.0,119.0,The Soft Skin
1887,2006-05-24,6.047434E7,123.0,Marie Antoinette
1923,1992-06-03,4160851.0,134.0,Twin Peaks: Fire Walk with Me
2108,1985-02-15,5.1525171E7,97.0,The Breakfast Club
2539,2004-12-17,5.5041367E7,130.0,Spanglish
2890,2000-01-27,0.0,86.0,Andr챕 Hazes_ Zij Gelooft in Mij
2907,1991-11-22,1.91502426E8,99.0,The Addams Family
2926,1973-12-11,0.0,105.0,The Three Musketeers
3019,1931-12-31,0.0,98.0,Dr. Jekyll and Mr. Hyde
70,2004-12-15,2.16763646E8,132.0,Million Dollar Baby
169,1990-11-20,5.7120318E7,108.0,Predator 2
923,1978-09-02,5.5E7,127.0,Dawn of the Dead
1408,1995-12-22,1.0017322E7,119.0,Cutthroat Island
1918,2004-09-09,0.0,95.0,Or (My Treasure)
2042,1998-11-20,0.0,99.0,Savior
26614,1931-11-20,0.0,91.0,La Chienne
