title,revenue,screen,open,country,mpaa,genre,plot
라이언,5.153709E8,1287.0,2017,기타,12세관람가,드라마,인생에서 두 번의 기적을 만든 남자 25년만에 집으로 향하는 그의 오랜 지도가 새롭게 펼쳐진다   5살  인도에서 호주까지   7 600km의 거리 형을 기다리다 기차에서 깜빡 잠들어버린 다섯 살  사루 는 집에서 수천 킬로미터 떨어진 곳에서 눈을 뜨게 된다  낯선 기차역에 홀로 남겨진  사루 는 보고 싶은 엄마와 형을 애타게 불러보지만 기억나는 것은 형  구뚜 의 이름과 정확하지 않은 동네 이름뿐  수 개월 동안 이곳 저곳을 떠돌며 힘겹게 살아가던  사루 는 결국 인도를 떠나 호주에 살고 있는 새로운 가족 곁으로 가게 된다   30살  호주에서 인도까지   25년의 시간 성인이 된  사루 는 대학원에서 우연히 인도 친구들을 만나게 되면서 잊고 있었던 어린 시절에 대한 기억이 떠올라 혼란에 빠진다  자신을 애타게 부르고 있을 엄마와 형에 대한 생각에 괴로워하던  사루 는  구글어스 로 전세계 어디든 찾을 수 있다는 친구의 말에 가느다란 희망을 붙잡고 25년 만에 집으로 가는 길을 다시 찾기 시작하는데 
스윗 프랑세즈,9.35838E7,635.0,2015,기타,15세관람가,멜로,1940년  독일이 점령한 프랑스 뷔시 사랑은 끝나지 않았다    매일 밤  그의 연주를 들었다     음악을 공부한 프랑스 여인  루실 은 저택에 함께 머물게 된 독일 장교  브루노 를 경계하지만 유일하게 자신을 자유롭게 하는 그에게 결국 마음을 연다    잠시만  전부 다 잊어버려요     오랜 전쟁으로 모든 것이 버거운 독일 장교  브루노 는 오직 피아노만이 위로가 되는 일상 속에서 유일하게 자신과 닮은 그녀로부터 점점 희망을 얻는다    우린 또 만날 거예요    다른 모습으로  모두를 위해 비밀스러워만 했던 그들의 사랑은 끝나지 않는 전쟁처럼 점점 격렬해지는데   2015년  영원히 잊지 못할 단 하나의 시크릿 로맨스 SUITE FRANCAISE
초한지 - 천하대전,6.09188E8,1077.0,2012,기타,12세관람가,액션,이기는 자가 천하를 얻게 된다  진시황 이후 최고의 패자로 올라선 항우 풍소봉 역   그러나 큰그릇으로 세상을 담은 또다른 영웅 한나라 유방 여명 역  항우는 유방을 제거할 절호의 기회였던 홍문의 연회에서 그를 놓치고 만다  한편  용맹함으로는 누구도 따라올 수 없는 항우는 검술에 뛰어나고  비파를 잘 타는 빼어난 미모의 우희 유역비 역 를 보고 첫눈에 반해 영원한 사랑을 맹세하는데   변방에서 세력을 키운 유방은 한신  장량 등 뛰어난 부하들과 함께 항우를 맞서며 대결전으로 나아가게 되고  천하는 둘로 나뉘어 두 영웅의 대결전 앞에 모이게 되는데 
레이디 채털리,4.33855E7,32.0,2007,기타,18세관람가,멜로,만지고 싶은 사랑    제1차 세계대전이 끝나고 불구가 되어 돌아온 남편을 보살피는 레이디 채털리  무기력증에 시달리는 그녀는 우연히 만난 사냥터지기 파킨에게 자신도 모르는 사이 끌리게 되고  그로부터 뿜어져 나오는 생동감에 매료되고 만다  결국 파킨과 관계를 갖게 된 채털리는 만남을 거듭할수록 그에게 빠져들게 되지만  귀족의 부인과 사냥터지기라는 계급의 차이로 관계를 지속하는데 어려움을 느끼게 된다  D H 로렌스의 고전 『채털리 부인의 사랑』이 파스칼 페랑의 손끝에서 6번째로 다시 태어났다   죽음과의 작은 협상   Coming to terms with the Death 으로 1994년 칸영화제 황금 카메라 상을 수상했던 감독의 오랜 공백기간후의 두번째 영화라는 것  여성감독의 시점에서 만들어진 여성에 관한 욕망을 다룬 영화라는 점에서 주목할 만하다   전주국제영화제 
극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,7.129726E8,1222.0,2017,기타,전체관람가,기타,코코밍 엔젤 총출동  세상을 지키기 위한 대모험이 시작된다  코코밍이라면 누구나 꿈꿔 온 코코밍 세계에 특별히 초대받은 미소와 코코밍들은 신비롭고 환상적인 코코밍 세계를 신나게 탐험하기 시작한다   한편  초대받지 못한 새 친구 푸르밍은 주인인 리아를 생각하는 마음에 코코밍 세계에 몰래 숨어들고 남몰래 훔친 도토리 열쇠를 이용해 해피트리 입구에 들어간다   이 때  푸르밍의 마이너스 파워로 해피트리에 큰 구멍이 생겨나고 소중한 해피스타들이 우르르 세상 밖으로 쏟아지게 되는데    위험에 빠진 코코밍 세계와 인간세계  과연 코코밍들은 힘을 합쳐 마법으로 세상을 구할 수 있을까 
돌려차기,2.31251E8,306.0,2004,한국,12세관람가,코미디,양아치 태권도부의 전국대회 도전기   크하핫  반칙왕이 나가신다   덤벼라  우리도 선수다   나 양아치 맞는데   이제 길바닥에서 쌈질 안 해 변변한 성적 한 번 못 거두는 3류 팀으로 전락한 전통의 고교 강호 만세고 태권도부  좌우로 정렬조차도 못하는 팀 전력으로 2주 앞으로 다가온 전국 대회 예선 통과는 상상할 수도 없는 노릇  옛 명성을 되찾기 위해 정녕 발 벗고 뛰는 건 부원들이 아니라 석교장과 고감독  주장 민규 뿐이다  이윽고 깜깜했던 이들의 눈앞에 50년 만세고 태권도부 역사에 종지부를 찍을 일대 사건이 터진다  하교길 만원 버스 안  만세고 주먹대장 용객과 그 일당은 맨 뒷자리에 앉아 있다  꼴통 정대는 다른 아이들이 버스 뒤쪽으로 못 넘어오게 버스 바닥에 금을 긋는다  운동도  분위기 파악도 못하는 태권도부는 그만 금을 밟아 버리고  용객 일당에게 처절하게 두들겨 맞는다  광안 대교 위에서 모조리 전사했다   하여 일명 광안대첩  태권도부 전원은 병원으로 후송되고  용객 일당은 유치장에 갇히게 된다  운동할 선수들이 없는 만세고 태권도부는 해체될 위기에 처하고  용객 일당은 전원 퇴학이라는 징계를 기다리고 있다  만세고 태권도부의 부활을 꿈꿔왔던 석교장은 용객 일당의 실력을 높이 사고  묘책을 짜낸다  용객 일당이 태권도부에 가입해 예선전만 통과해 주면 퇴학을 면해 주겠다는 것  만세고 태권도부는 용객 일당의 가입으로 활기를 띠고  어린이 태권도장 관장인 충근을 감독으로  발레리노 석봉을 선수로 영입하여 만세고 최고의 올스타 팀을 꾸린다  정통 태권도 문법을 조금씩 비켜간 그들은 오로지 승리를 위해 그들만의 전술을 펼치는데 
헤븐허스트,849000.0,7.0,2017,미국,18세관람가,공포,알코올 중독으로 재활치료를 마친 재키  재활원을 나와 헤븐허스트라는 재활원 출소자들의 보금자리를 찾아간다  그곳에 살기 위해서는 계약서에 서명을 해야 하는데 다시는 예전의 삶의 습관으로 돌아가지 않는다는 것이 조건이다  이걸 어길 시에는 쫒겨난다고 한다   전에 살던 친구 다니엘도 그렇게 쫒겨 난 것일까   궁금해하던 재키는 다니엘이 쫒겨난 것이 아니라 실종이 된 것을 알게 되고 친구인 형사 팀에게 알린다  그리고 헤븐허스트와 오래 전살인마 홈즈와 연관이 있다는 것을 알게 되고 헤븐 허스트의 무서운 과거를 알게 되면서 재키에게도 위험이 다가오게 된다 
19곰 테드 2,1.0669103E9,2008.0,2015,미국,18세관람가,코미디, 내가 물건이라고    곰생폼사 욕정곰 테드에게 인권   을 허하소서   왕따에게도 왕따 당하던 8살 존 마크 월버그 의 크리스마스 소원으로 살아 움직이게 된 테드 세스 맥팔레인   무적의 썬더 버디로 30년 동안 철없고 끈끈한 우정을 이어가던 둘은 테드가 인간이 아니라 물건   이라는 법원의 판결로 멘붕에 빠진다  빡친 테드는 존과 함께 자신의 인권   을 입증하기 위해 승률 99 8  변호사 사만다 아만다 사이프리드 를 찾아가는데  
우리가 꿈꾸는 기적: 인빅터스,5.438635E8,792.0,2010,미국,전체관람가,드라마,첫 흑인 대통령으로 선발된 넬슨 만델라 모건 프리먼 는 거의 백인으로 이뤄진 자국팀  스프링복스 와 영국의 경기에서 흑인들이 상대팀 영국을 응원하는 것을 목격한다  이에 인종과 국경을 초월하는 스포츠를 통해 모두의 마음을 하나로 연결할 것을 결심하고   스프링복스 의 주장 프랑소와 피나르 맷 데이먼 를 초대해 1년 뒤 자국에서 열리는 럭비 월드컵에서 우승해 달라고 제안한다  그 누구도 믿지 않았고 불가능이라 여겨졌던 우승  결코 굴하지 않았던 그들은 온 국민에게 기적 같은 경험을 선사하고 이 날의 경기는 흑과 백이 하나되는 역사적인 사건으로 기록되었다 
도리안 그레이,1.36955E7,287.0,2013,기타,18세관람가,드라마,완벽한 아름다움   영혼과 맞바꾼 초상화  그의 충격적인 비밀이 밝혀진다  아름다운 외모의 순수청년 도리안 그레이 벤 반스   친구 바질이 선물한 아름다운 초상화 속 매혹적인 자신의 모습이 영원할 수만 있다면 악마에게 자신의 영혼까지도 팔겠다는 위험한 맹세를 하게 된다  그 후  불멸의 아름다움을 갖게 된 도리안 그레이에게 수많은 여성들은 매혹되기 시작하고  그 모든 것이 신기하기만 했던 도리안 그레이에게 헨리 워튼 경 콜린 퍼스 은 그에게 환락과 타락의 길을 소개한다  그리고 도리안 그레이의 욕망이 커지면 커질수록 그의 초상화에는 이상한 기운이 깃들기 시작하는데   
